Brand,Model,Rating (/10),Grade,Release Year,Operating System,OS Version,Processor Brand,Processor Model,Speed (GHz),RAM (GB),Storage (GB),Battery (mAh),Fast Charging,Charging Speed (w),Weight (g),Depth (mm),Display Size (inches),Display Type,Resolution (p),Refresh Rate (Hz),Main Camera (MP),Front Camera (MP),Number of Rear Cameras,Fingerprint Sensor,Face Unlock,Water Resistant,IR Blaster,NFC,Stylus,Foldable/Flippable,Connectivity (G),Ships with Charger,Price (INR),Category
Samsung,Samsung Galaxy S23 Ultra,9.5,Excellent,2023,Android,13,Qualcomm Snapdragon,Qualcomm Snapdragon 8 Gen 2,3.36,12,512,5000,Yes,45,234,8.9,6.8,Dynamic AMOLED 2X,1440,120,200,12,4,Yes,Yes,Yes,No,Yes,Yes,No,5,No,124999,Luxury
Apple,Apple iPhone 15 Pro Max,9.3,Excellent,2023,iOS,17,Apple Silicon,Apple A17 Pro,3.78,8,256,4422,Yes,20,221,8.25,6.7,Super Retina XDR OLED,1290,120,48,12,3,No,Yes,Yes,No,Yes,No,No,5,No,159900,Luxury
Google,Google Pixel 8 Pro,9,Excellent,2023,Android,14,Google Tensor,Google Tensor G3,3,12,128,5050,Yes,30,213,8.8,6.7,LTPO OLED,1344,120,50,10.5,3,Yes,Yes,Yes,No,Yes,No,No,5,No,106999,Luxury
Xiaomi,Xiaomi Redmi 12,7.2,Average,2023,Android,13,MediaTek,MediaTek Helio G88,2,4,128,5000,Yes,18,198.5,8.2,6.79,IPS LCD,1080,90,50,8,2,Yes,Yes,No,Yes,No,No,No,4,Yes,9499,Budget
Samsung,Samsung Galaxy Z Fold5,9.1,Excellent,2023,Android,13,Qualcomm Snapdragon,Qualcomm Snapdragon 8 Gen 2,3.36,12,512,4400,Yes,25,253,6.1,7.6,Foldable Dynamic AMOLED 2X,1812,120,50,10,3,Yes,Yes,Yes,No,Yes,Yes,Yes,5,No,154999,Luxury
OnePlus,OnePlus Nord CE 3 Lite 5G,8,Good,2023,Android,13,Qualcomm Snapdragon,Qualcomm Snapdragon 695,2.2,8,128,5000,Yes,67,195,8.3,6.72,IPS LCD,1080,120,108,16,3,Yes,Yes,No,No,No,No,No,5,Yes,19999,Midrange
Motorola,Motorola Edge 40,8.6,Good,2023,Android,13,MediaTek,MediaTek Dimensity 8020,2.6,8,256,4400,Yes,68,171,7.6,6.55,P-OLED,1080,144,50,32,2,Yes,Yes,Yes,No,Yes,No,No,5,Yes,29999,Midrange
Realme,Realme Narzo 60 5G,7.8,Average,2023,Android,13,MediaTek,MediaTek Dimensity 6020,2.2,8,128,5000,Yes,33,182,7.9,6.43,AMOLED,1080,90,64,16,2,Yes,Yes,No,No,No,No,No,5,Yes,17999,Midrange
Infinix,Infinix Zero 30 5G,7.9,Average,2023,Android,13,MediaTek,MediaTek Dimensity 8020,2.6,12,256,5000,Yes,68,185,7.9,6.78,AMOLED,1080,144,108,50,3,Yes,Yes,No,No,Yes,No,No,5,Yes,23999,Midrange
Tecno,Tecno Phantom V Fold,8.4,Good,2023,Android,13,MediaTek,MediaTek Dimensity 9000+,3.2,12,256,5000,Yes,45,299,6.9,7.85,Foldable LTPO AMOLED,2000,120,50,16,3,Yes,Yes,No,No,Yes,No,Yes,5,Yes,88888,Luxury
